iter	Accuracy	Logloss
217	0.893836419	0.4810772262
218	0.8954769159	0.480114096
219	0.8954769159	0.4791133558
220	0.8954769159	0.4779030722
221	0.8978204828	0.4769328524
222	0.8978204828	0.4760161628
223	0.8987579095	0.4751026194
224	0.8996953363	0.4741457804
225	0.9006327631	0.4732591305
226	0.9011014764	0.4724133696
227	0.9013358331	0.4715500302
228	0.9015701898	0.4708456099
229	0.9022732599	0.4699830641
230	0.9020389032	0.468956166
231	0.9034450434	0.4677992184
232	0.9053198969	0.4667460175
233	0.9055542536	0.465690981
234	0.9071947504	0.4645495556
235	0.9071947504	0.4635162831
236	0.9074291071	0.462860061
237	0.9074291071	0.4618595868
238	0.9078978205	0.4610698758
239	0.9088352472	0.4600316614
240	0.9095383173	0.4590233786
241	0.9118818842	0.4579368478
242	0.912819311	0.4570669675
243	0.912819311	0.4560166926
244	0.9132880244	0.4551245589
245	0.9146941645	0.4542310343
246	0.9161003047	0.453167555
247	0.9184438716	0.4519415561
248	0.9184438716	0.4509869344
249	0.9184438716	0.4504191189
250	0.9198500117	0.4492966311
251	0.9198500117	0.4482856603
252	0.9203187251	0.4472566771
253	0.9219592219	0.4460996956
254	0.9224279353	0.4451929867
255	0.9235997188	0.4443605038
256	0.9238340755	0.4435267006
257	0.9243027888	0.4428182191
258	0.9250058589	0.4420417417
259	0.9247715022	0.4411197018
260	0.9252402156	0.440311063
261	0.9247715022	0.4393459547
262	0.9254745723	0.4387773333
263	0.9254745723	0.4378592822
264	0.925708929	0.4368745205
265	0.9268807124	0.4361496884
266	0.9273494258	0.4351124574
267	0.9285212093	0.4340199063
268	0.928755566	0.4335749635
269	0.9296929927	0.4325456942
270	0.9292242794	0.4318537089
271	0.9292242794	0.4308875113
272	0.9296929927	0.4299319324
273	0.9301617061	0.429028841
274	0.9310991329	0.4280919593
275	0.9320365596	0.4270924969
276	0.9320365596	0.4260433783
277	0.9329739864	0.425310871
278	0.9339114132	0.4244308823
279	0.9339114132	0.4234754538
280	0.9339114132	0.4224094103
281	0.9343801266	0.4214555045
282	0.9353175533	0.4203156425
283	0.9360206234	0.4196448268
284	0.9357862667	0.4186654507
285	0.9362549801	0.4178969842
286	0.9362549801	0.4169264053
287	0.9376611202	0.4159834095
288	0.9393016171	0.4150872363
289	0.9404734005	0.4141875049
290	0.9404734005	0.4134185521
291	0.9411764706	0.4123679202
292	0.9414108273	0.4116701296
293	0.9418795407	0.4107462006
294	0.9414108273	0.4100780694
295	0.9411764706	0.4091064723
296	0.9432856808	0.4082597391
297	0.9435200375	0.4073255882
298	0.944691821	0.4068483056
299	0.945394891	0.4058849232
