iter	Passed	Remaining
401	12110	18015
402	12139	17983
403	12168	17951
404	12197	17919
405	12235	17900
406	12264	17869
407	12294	17839
408	12326	17812
409	12356	17781
410	12385	17750
411	12414	17717
412	12443	17686
413	12473	17655
414	12503	17625
415	12534	17596
416	12564	17565
417	12593	17535
418	12623	17504
419	12653	17473
420	12682	17442
421	12711	17410
422	12740	17379
423	12769	17347
424	12798	17315
425	12827	17284
426	12857	17253
427	12886	17222
428	12915	17190
429	12943	17158
430	12972	17126
431	13001	17094
432	13030	17063
433	13061	17034
434	13091	17003
435	13120	16972
436	13150	16942
437	13183	16916
438	13214	16886
439	13245	16857
440	13275	16827
441	13307	16799
442	13340	16772
443	13371	16744
444	13401	16714
445	13431	16683
446	13462	16655
447	13493	16625
448	13522	16594
449	13552	16563
450	13584	16536
451	13614	16506
452	13644	16475
453	13675	16447
454	13706	16418
455	13737	16389
456	13769	16360
457	13800	16331
458	13831	16302
459	13863	16274
460	13893	16244
461	13924	16215
462	13954	16185
463	13984	16154
464	14014	16124
465	14044	16093
466	14074	16063
467	14105	16034
468	14136	16005
469	14166	15975
470	14196	15944
471	14224	15911
472	14253	15881
473	14283	15850
474	14312	15818
475	14341	15787
476	14371	15756
477	14399	15725
478	14429	15694
479	14458	15663
480	14486	15631
481	14515	15599
482	14544	15568
483	14574	15538
484	14603	15506
485	14634	15477
486	14664	15447
487	14693	15416
488	14722	15384
489	14752	15354
490	14781	15323
491	14810	15291
492	14838	15260
493	14867	15228
494	14896	15197
495	14925	15165
496	14954	15134
497	14983	15104
498	15013	15074
499	15042	15042
500	15071	15011
501	15100	14980
502	15129	14949
503	15159	14918
504	15229	14927
505	15263	14901
506	15309	14886
507	15338	14855
508	15368	14824
509	15397	14793
510	15426	14762
511	15454	14730
512	15483	14699
513	15513	14668
514	15542	14637
515	15571	14606
516	15601	14575
517	15630	14544
518	15659	14513
519	15689	14482
520	15719	14452
521	15749	14421
522	15778	14391
523	15808	14360
524	15837	14329
525	15866	14297
526	15895	14267
527	15925	14236
528	15953	14204
529	15982	14172
530	16011	14142
531	16040	14110
532	16070	14080
533	16099	14048
534	16128	14018
535	16158	13987
536	16187	13956
537	16216	13925
538	16246	13895
539	16277	13865
540	16306	13835
541	16335	13803
542	16364	13772
543	16394	13742
544	16424	13711
545	16453	13681
546	16482	13649
547	16511	13618
548	16540	13587
549	16569	13556
550	16598	13526
551	16628	13495
552	16657	13464
553	16685	13433
554	16714	13401
555	16743	13371
556	16774	13341
557	16803	13310
558	16831	13278
559	16861	13248
560	16890	13217
561	16920	13187
562	16950	13156
563	16980	13126
564	17009	13095
565	17037	13064
566	17066	13032
567	17094	13001
568	17123	12970
569	17153	12940
570	17183	12909
571	17212	12878
572	17242	12848
573	17271	12818
574	17302	12788
575	17331	12757
576	17361	12727
577	17390	12696
578	17419	12666
579	17449	12635
580	17478	12604
581	17506	12573
582	17535	12542
583	17564	12511
584	17593	12481
585	17623	12450
586	17652	12420
587	17681	12389
588	17710	12358
589	17739	12327
590	17769	12297
591	17798	12266
592	17828	12236
593	17857	12205
594	17886	12174
595	17915	12144
596	17945	12113
597	17975	12083
598	18004	12053
599	18035	12023
600	18066	11994
601	18096	11964
602	18126	11934
603	18156	11904
604	18187	11874
605	18217	11844
606	18247	11814
607	18278	11784
608	18312	11757
609	18343	11727
610	18373	11697
611	18405	11668
612	18437	11640
613	18468	11610
614	18498	11580
615	18528	11550
616	18559	11520
617	18590	11491
618	18621	11461
619	18652	11432
620	18684	11402
621	18713	11372
622	18759	11352
623	18789	11322
624	18824	11294
625	18855	11265
626	18884	11234
627	18914	11204
628	18945	11174
629	18975	11144
630	19005	11113
631	19035	11084
632	19066	11054
633	19097	11024
634	19126	10994
635	19157	10964
636	19201	10942
637	19233	10912
638	19262	10882
639	19291	10851
640	19321	10821
641	19350	10790
642	19397	10769
643	19427	10739
644	19456	10708
645	19485	10678
646	19515	10647
647	19545	10617
648	19574	10586
649	19603	10555
650	19633	10525
651	19662	10494
652	19693	10465
653	19725	10435
654	19758	10407
655	19790	10377
656	19822	10348
657	19857	10321
658	19890	10292
659	19923	10263
660	19955	10234
661	19986	10204
662	20019	10175
663	20051	10146
664	20084	10117
665	20115	10087
666	20146	10058
667	20176	10027
668	20205	9997
669	20236	9967
670	20266	9936
671	20298	9907
672	20327	9876
673	20357	9846
674	20387	9816
675	20417	9785
676	20447	9755
677	20482	9727
678	20512	9697
679	20541	9666
680	20570	9635
681	20605	9607
682	20638	9578
683	20671	9549
684	20700	9519
685	20732	9489
686	20761	9459
687	20791	9428
688	20820	9397
689	20849	9366
690	20878	9336
691	20907	9305
692	20937	9275
693	20965	9244
694	20994	9213
695	21022	9182
696	21051	9151
697	21080	9120
698	21109	9090
699	21138	9059
700	21168	9029
701	21196	8998
702	21226	8967
703	21256	8937
704	21284	8906
705	21313	8875
706	21343	8845
707	21372	8814
708	21406	8785
709	21434	8755
710	21463	8724
711	21492	8693
712	21521	8662
713	21550	8632
714	21579	8601
715	21608	8570
716	21637	8540
717	21666	8509
718	21696	8479
719	21725	8448
720	21755	8418
721	21784	8387
722	21813	8357
723	21842	8326
724	21872	8296
725	21902	8266
726	21930	8235
727	21959	8204
728	21990	8174
729	22019	8144
730	22047	8113
731	22076	8082
732	22105	8052
733	22135	8022
734	22164	7991
735	22194	7960
736	22223	7930
737	22253	7900
738	22282	7869
739	22311	7839
740	22340	7808
741	22369	7777
742	22398	7747
743	22427	7717
744	22457	7686
745	22486	7656
746	22516	7625
747	22544	7595
748	22573	7564
749	22602	7534
750	22632	7504
751	22661	7473
752	22691	7443
753	22720	7412
754	22749	7382
755	22778	7351
756	22808	7321
757	22837	7291
758	22866	7260
759	22895	7230
760	22924	7199
761	22952	7168
762	22981	7138
763	23009	7107
764	23038	7077
765	23068	7047
766	23097	7016
767	23126	6985
768	23155	6955
769	23184	6925
770	23213	6894
771	23243	6864
772	23273	6834
773	23301	6803
774	23330	6773
775	23359	6742
776	23387	6712
777	23417	6682
778	23448	6652
779	23477	6621
780	23505	6591
781	23534	6560
782	23562	6530
783	23591	6499
784	23621	6469
785	23650	6439
786	23679	6408
787	23708	6378
788	23737	6348
789	23766	6317
790	23795	6287
791	23824	6256
792	23853	6226
793	23882	6196
794	23911	6165
795	23941	6135
796	23970	6105
797	23999	6075
798	24028	6044
799	24056	6014
800	24085	5983
801	24115	5953
802	24143	5923
803	24172	5892
804	24202	5862
805	24232	5832
806	24262	5802
807	24291	5772
808	24324	5742
809	24353	5712
810	24382	5682
811	24411	5651
812	24439	5621
813	24468	5591
814	24497	5560
815	24526	5530
816	24554	5500
817	24584	5469
818	24613	5439
819	24644	5409
820	24673	5379
821	24702	5349
822	24734	5319
823	24763	5289
824	24793	5259
825	24822	5229
826	24851	5198
827	24880	5168
828	24910	5138
829	24938	5107
830	24967	5077
831	24996	5047
832	25025	5017
833	25054	4986
834	25083	4956
835	25112	4926
836	25141	4896
837	25171	4865
838	25199	4835
839	25229	4805
840	25258	4775
841	25287	4745
842	25315	4714
843	25344	4684
844	25374	4654
845	25404	4624
846	25432	4594
847	25462	4564
848	25491	4533
849	25521	4503
850	25550	4473
851	25579	4443
852	25609	4413
853	25639	4383
854	25668	4353
855	25698	4323
856	25727	4292
857	25757	4262
858	25786	4232
859	25815	4202
860	25845	4172
861	25873	4142
862	25902	4111
863	25931	4081
864	25960	4051
865	25989	4021
866	26019	3991
867	26047	3961
868	26076	3930
869	26105	3900
870	26133	3870
871	26162	3840
872	26191	3810
873	26220	3780
874	26250	3750
875	26278	3719
876	26308	3689
877	26337	3659
878	26365	3629
879	26395	3599
880	26424	3569
881	26454	3539
882	26483	3509
883	26512	3479
884	26558	3451
885	26588	3421
886	26617	3390
887	26645	3360
888	26674	3330
889	26702	3300
890	26731	3270
891	26760	3240
892	26789	3209
893	26818	3179
894	26847	3149
895	26876	3119
896	26905	3089
897	26935	3059
898	26964	3029
899	26993	2999
900	27032	2970
901	27067	2940
902	27096	2910
903	27126	2880
904	27155	2850
905	27184	2820
906	27212	2790
907	27242	2760
908	27275	2730
909	27305	2700
910	27334	2670
911	27362	2640
912	27391	2610
913	27421	2580
914	27451	2550
915	27481	2520
916	27510	2490
917	27540	2460
918	27569	2429
919	27597	2399
920	27626	2369
921	27655	2339
922	27685	2309
923	27715	2279
924	27746	2249
925	27776	2219
926	27805	2189
927	27834	2159
928	27863	2129
929	27893	2099
930	27921	2069
931	27950	2039
932	27979	2009
933	28008	1979
934	28040	1949
935	28085	1920
936	28114	1890
937	28144	1860
938	28173	1830
939	28202	1800
940	28232	1770
941	28262	1740
942	28292	1710
943	28321	1680
944	28351	1650
945	28380	1620
946	28410	1590
947	28439	1559
948	28469	1529
949	28498	1499
950	28527	1469
951	28556	1439
952	28587	1409
953	28616	1379
954	28645	1349
955	28677	1319
956	28707	1289
957	28737	1259
958	28768	1229
959	28800	1200
960	28832	1170
961	28863	1140
962	28896	1110
963	28927	1080
964	28957	1050
965	28989	1020
966	29021	990
967	29053	960
968	29086	930
969	29116	900
970	29146	870
971	29176	840
972	29204	810
973	29234	780
974	29263	750
975	29291	720
976	29320	690
977	29348	660
978	29377	630
979	29406	600
980	29434	570
981	29463	540
982	29491	510
983	29520	480
984	29549	449
985	29578	419
986	29607	389
987	29636	359
988	29666	329
989	29695	299
990	29730	270
991	29759	239
992	29788	209
993	29816	179
994	29845	149
995	29876	119
996	29904	89
997	29933	59
998	29962	29
999	29992	0
